Data num,Variable Name,RockWell,Start address,Frame ID,Anybus Address,Type,Factor
1,LCK01.T,CAN4:O.Data[0].0,0,0x200,0x200:0x207,BOOL,
,LSK03.T,CAN4:O.Data[0].1,1,0x200,0x200:0x207,BOOL,
,LMK01.T,CAN4:O.Data[0].2,2,0x200,0x200:0x207,BOOL,
,LEB01.T1,CAN4:O.Data[0].3,3,0x200,0x200:0x207,BOOL,
,LEB02.T1,CAN4:O.Data[0].4,4,0x200,0x200:0x207,BOOL,
,LEB03.T1,CAN4:O.Data[0].5,5,0x200,0x200:0x207,BOOL,
,LEZ01.T,CAN4:O.Data[0].6,6,0x200,0x200:0x207,BOOL,
,LN3.T1,CAN4:O.Data[0].7,7,0x200,0x200:0x207,BOOL,
,LT4.T1,CAN4:O.Data[0].8,8,0x200,0x200:0x207,BOOL,
,LT4.T3,CAN4:O.Data[0].9,9,0x200,0x200:0x207,BOOL,
,LT4.T4,CAN4:O.Data[0].10,10,0x200,0x200:0x207,BOOL,
,LN1.T2,CAN4:O.Data[0].11,11,0x200,0x200:0x207,BOOL,
,LN2.T2,CAN4:O.Data[0].12,12,0x200,0x200:0x207,BOOL,
,LER01.T,CAN4:O.Data[0].13,13,0x200,0x200:0x207,BOOL,
,LEK01.T,CAN4:O.Data[0].14,14,0x200,0x200:0x207,BOOL,
,LFP07.T2,CAN4:O.Data[0].15,15,0x200,0x200:0x207,BOOL,
,LFH06.T,CAN4:O.Data[0].16,16,0x200,0x200:0x207,BOOL,
,LFA01.T,CAN4:O.Data[0].17,17,0x200,0x200:0x207,BOOL,
,LLP01.T2,CAN4:O.Data[0].18,18,0x200,0x200:0x207,BOOL,
,LLP07.T2,CAN4:O.Data[0].19,19,0x200,0x200:0x207,BOOL,
,LEP02.T2,CAN4:O.Data[0].20,20,0x200,0x200:0x207,BOOL,
,LLT06.T1,CAN4:O.Data[0].21,21,0x200,0x200:0x207,BOOL,
,LGK07.T,CAN4:O.Data[0].22,22,0x200,0x200:0x207,BOOL,
